x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.19,2019-03-19 00:00:00,NS,2019,3,19,,M,,M,,M,,M,,,,,,,,M,,M,,M,,M,,M,,M
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.20,2019-03-20 00:00:00,NS,2019,3,20,-1.7,,-7.7,,4.3,,0,,,,,,,,31,,41,,0,,19.7,,22,,77,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.21,2019-03-21 00:00:00,NS,2019,3,21,0.8,,-5.2,,6.7,,0,,,,,,,,20,,41,,0,,17.2,,42,,100,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.22,2019-03-22 00:00:00,NS,2019,3,22,3.7,,0,,7.4,,0,,,,,,,,13,,78,,0,,14.3,,92,,100,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.23,2019-03-23 00:00:00,NS,2019,3,23,2.4,,0.9,,3.9,,0,,,,,,,,20,,68,,0,,15.6,,85,,100,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.24,2019-03-24 00:00:00,NS,2019,3,24,4.4,,-0.6,,9.4,,0,,,,,,,,29,,54,,0,,13.6,,28,,85,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.25,2019-03-25 00:00:00,NS,2019,3,25,-0.1,,-4.9,,4.7,,0,,,,,,,,31,,50,,0,,18.1,,22,,86,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.26,2019-03-26 00:00:00,NS,2019,3,26,-2.4,,-6.6,,1.8,,0,,,,,,,,31,,48,,0,,20.4,,27,,63,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.27,2019-03-27 00:00:00,NS,2019,3,27,-3.3,,-8.9,,2.3,,0,,,,,,,,35,,39,,0,,21.3,,31,,87,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.28,2019-03-28 00:00:00,NS,2019,3,28,-1.5,,-6.1,,3.2,,0,,,,,,,,20,,50,,0,,19.5,,49,,100,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.29,2019-03-29 00:00:00,NS,2019,3,29,5,,0.2,,9.8,,0,,,,,,,,21,,52,,0,,13,,58,,100,
-63.50861111111111,44.88111111111111,HALIFAX STANFIELD INT'L A,8202249,8202249.2019.3.30,2019-03-30 00:00:00,NS,2019,3,30,4.1,,1.5,,6.7,,0,,,,,,,,14,,32,,0,,13.9,,100,,100,
